ZIP Code,City,Adresse d'arrivée,Distance Km
5540,"5540 Hastière-Lavaux, Belgique",BRUXELLES,"108,94"
4610,"4610 Queue-Du-Bois, Belgique",BRUXELLES,"108,942"
8810,"8810 LICHTERVELDE, Belgique",BRUXELLES,"109,01"
8800,"8800 Oekene, Belgique",BRUXELLES,"109,05"
4682,"4682 Houtain-Saint-Siméon, Belgique",BRUXELLES,"109,074"
8851,"8851 Koolskamp, Belgique",BRUXELLES,"109,1"
3631,"3631 Boorsem, Belgique",BRUXELLES,"109,145"
3621,"3621 Rekem, Belgique",BRUXELLES,"109,26"
5570,"5570 Feschaux, Belgique",BRUXELLES,"109,37"
7742,"7742 Hérinnes-Lez-Pecq, Belgique",BRUXELLES,"109,39"
5541,"5541 Hastière-Par-Delà, Belgique",BRUXELLES,"109,46"
4623,"4623 Magnée, Belgique",BRUXELLES,"109,63"
8610,"8610 KORTEMARK, Belgique",BRUXELLES,"109,79"
8420,"8420 Wenduine, Belgique",BRUXELLES,"109,838"
5573,"5573 Martouzin-Neuville, Belgique",BRUXELLES,"109,87"
5521,"5521 Serville, Belgique",BRUXELLES,"109,95"
1800,"1800 VILVOORDE, Belgique",BRUXELLES,"11,28"
1700,"1700 Sint-Ulriks-Kapelle, Belgique",BRUXELLES,"11,31"
1830,"1830 MACHELEN, Belgique",BRUXELLES,"11,42"
1730,"1730 Bekkerzeel, Belgique",BRUXELLES,"11,78"
1950,"1950 KRAAINEM, Belgique",BRUXELLES,"11,79"
1170,"1170 WATERMAEL-BOITSFORT, Belgique",BRUXELLES,"11,82"
1780,"1780 WEMMEL, Belgique",BRUXELLES,"11,92"
1703,"1703 Schepdaal, Belgique",BRUXELLES,"11,95"
4621,"4621 Retinne, Belgique",BRUXELLES,"110,25"
4632,"4632 Cérexhe-Heuseux, Belgique",BRUXELLES,"110,3"
4653,"4653 Bolland, Belgique",BRUXELLES,"110,3"
8400,"8400 OOSTENDE, Belgique",BRUXELLES,"110,31"
5660,"5660 Frasnes, Belgique",BRUXELLES,"110,356"
8301,"8301 Ramskapelle, Belgique",BRUXELLES,"110,585"
8450,"8450 BREDENE, Belgique",BRUXELLES,"110,626"
3960,"3960 BREE, Belgique",BRUXELLES,"110,66"
5522,"5522 Falaen, Belgique",BRUXELLES,"110,66"
3910,"3910 Sint-Huibrechts-Lille, Belgique",BRUXELLES,"111,137"
8980,"8980 Beselare, Belgique",BRUXELLES,"111,43"
4052,"4052 Beaufays, Belgique",BRUXELLES,"111,49"
4620,"4620 FLÉRON, Belgique",BRUXELLES,"111,97"
4633,"4633 Melen, Belgique",BRUXELLES,"112,08"
6596,"6596 Forge-Philippe, Belgique",BRUXELLES,"112,16"
6922,"6922 Halma, Belgique",BRUXELLES,"112,399"
4600,"4600 Lixhe, Belgique",BRUXELLES,"112,451"
4650,"4650 Julémont, Belgique",BRUXELLES,"112,49"
5670,"5670 Nismes, Belgique",BRUXELLES,"112,57"
4606,"4606 Saint-André, Belgique",BRUXELLES,"112,79"
5571,"5571 Wiesme, Belgique",BRUXELLES,"112,87"
3650,"3650 Elen, Belgique",BRUXELLES,"113,117"
5542,"5542 Blaimont, Belgique",BRUXELLES,"113,34"
6600,"6600 Villers-La-Bonne-Eau, Belgique",BRUXELLES,"113,43"
6990,"6990 Fronville, Belgique",BRUXELLES,"113,486"
6920,"6920 WELLIN, Belgique",BRUXELLES,"113,62"
5574,"5574 Pondrôme, Belgique",BRUXELLES,"113,83"
3798,"3798 Fouron-Le-Comte, Belgique",BRUXELLES,"113,85"
7780,"7780 Comines, Belgique",BRUXELLES,"113,9"
6921,"6921 Chanly, Belgique",BRUXELLES,"113,92"
9030,"9030 Mariakerke, Belgique",BRUXELLES,"113,92"
4608,"4608 Warsage, Belgique",BRUXELLES,"113,93"
4140,"4140 Dolembreux, Belgique",BRUXELLES,"114,13"
6940,"6940 Grandhan, Belgique",BRUXELLES,"114,135"
8830,"8830 Gits, Belgique",BRUXELLES,"114,348"
4652,"4652 Xhendelesse, Belgique",BRUXELLES,"114,74"
4870,"4870 TROOZ, Belgique",BRUXELLES,"114,863"
6924,"6924 Lomprez, Belgique",BRUXELLES,"115,24"
5589,"5589 Jemelle, Belgique",BRUXELLES,"115,311"
8680,"8680 Bovekerke, Belgique",BRUXELLES,"115,33"
6950,"6950 Harsin, Belgique",BRUXELLES,"115,6"
6927,"6927 Resteigne, Belgique",BRUXELLES,"115,896"
5543,"5543 Heer, Belgique",BRUXELLES,"116,01"
5576,"5576 Froidfontaine, Belgique",BRUXELLES,"116,41"
6440,"6440 FROIDCHAPELLE, Belgique",BRUXELLES,"116,46"
6952,"6952 Grune, Belgique",BRUXELLES,"116,51"
4861,"4861 Soiron, Belgique",BRUXELLES,"116,65"
4654,"4654 Charneux, Belgique",BRUXELLES,"116,697"
6594,"6594 Beauwelz, Belgique",BRUXELLES,"116,93"
8432,"8432 Leffinge, Belgique",BRUXELLES,"116,94"
8300,"8300 Knokke, Belgique",BRUXELLES,"117,103"
4163,"4163 Tavier, Belgique",BRUXELLES,"117,13"
6951,"6951 Bande, Belgique",BRUXELLES,"117,21"
7784,"7784 Warneton, Belgique",BRUXELLES,"117,33"
4651,"4651 Battice, Belgique",BRUXELLES,"117,56"
5544,"5544 Agimont, Belgique",BRUXELLES,"117,64"
4877,"4877 OLNE, Belgique",BRUXELLES,"117,76"
8902,"8902 Hollebeke, Belgique",BRUXELLES,"117,85"
5680,"5680 Soulme, Belgique",BRUXELLES,118
7781,"7781 Houthem, Belgique",BRUXELLES,"118,17"
4171,"4171 Poulseur, Belgique",BRUXELLES,"118,44"
6953,"6953 Forrières, Belgique",BRUXELLES,"118,792"
3930,"3930 Achel, Belgique",BRUXELLES,"118,91"
4162,"4162 Hody, Belgique",BRUXELLES,"118,99"
8900,"8900 Sint-Jan, Belgique",BRUXELLES,"119,74"
8433,"8433 Mannekensvere, Belgique",BRUXELLES,"119,921"
1933,"1933 Sterrebeek, Belgique",BRUXELLES,"12,23"
1602,"1602 Vlezenbeek, Belgique",BRUXELLES,"12,41"
4820,"4820 DISON, Belgique",BRUXELLES,"120,07"
3790,"3790 FOURONS, Belgique",BRUXELLES,"120,154"
6987,"6987 Hodister, Belgique",BRUXELLES,"120,2"
4161,"4161 Villers-Aux-Tours, Belgique",BRUXELLES,"120,28"
4141,"4141 Louveigné, Belgique",BRUXELLES,"120,29"
4160,"4160 ANTHISNES, Belgique",BRUXELLES,"120,56"
3640,"3640 KINROOI, Belgique",BRUXELLES,"120,65"
8957,"8957 MESSINES, Belgique",BRUXELLES,"120,81"
4890,"4890 Clermont, Belgique",BRUXELLES,"121,033"
6593,"6593 Macquenoise, Belgique",BRUXELLES,"121,273"
8431,"8431 Wilskerke, Belgique",BRUXELLES,"121,433"
8840,"8840 Oostnieuwkerke, Belgique",BRUXELLES,"121,52"
6986,"6986 Halleux, Belgique",BRUXELLES,"122,38"
4920,"4920 Sougné-Remouchamps, Belgique",BRUXELLES,"122,715"
7782,"7782 Ploegsteert, Belgique",BRUXELLES,"122,79"
6463,"6463 Lompret, Belgique",BRUXELLES,"122,946"
4821,"4821 Andrimont, Belgique",BRUXELLES,"123,22"
3792,"3792 Fouron-Saint-Pierre, Belgique",BRUXELLES,"123,28"
4800,"4800 Lambermont, Belgique",BRUXELLES,"123,358"
8430,"8430 MIDDELKERKE, Belgique",BRUXELLES,"123,398"
6462,"6462 Vaulx-Lez-Chimay, Belgique",BRUXELLES,"123,42"
8952,"8952 Wulvergem, Belgique",BRUXELLES,"123,84"
4880,"4880 AUBEL, Belgique",BRUXELLES,"123,91"
6461,"6461 Virelles, Belgique",BRUXELLES,"124,09"
1367,"1367 Bomal, Belgique",BRUXELLES,"124,11"
3791,"3791 Remersdaal, Belgique",BRUXELLES,"124,17"
4831,"4831 Bilstain, Belgique",BRUXELLES,"124,56"
5575,"5575 Malvoisin, Belgique",BRUXELLES,"124,589"
8904,"8904 Boezinge, Belgique",BRUXELLES,"124,72"
4841,"4841 Henri-Chapelle, Belgique",BRUXELLES,"124,79"
7783,"7783 Bizet, Belgique",BRUXELLES,"124,84"
4802,"4802 Heusy, Belgique",BRUXELLES,"125,262"
8908,"8908 Vlamertinge, Belgique",BRUXELLES,"125,28"
8920,"8920 Bikschote, Belgique",BRUXELLES,"125,607"
8434,"8434 Westende, Belgique",BRUXELLES,"125,75"
8906,"8906 Elverdinge, Belgique",BRUXELLES,"125,97"
8950,"8950 Nieuwkerke, Belgique",BRUXELLES,"126,38"
8953,"8953 Wijtschate, Belgique",BRUXELLES,"126,69"
6971,"6971 Champlon, Belgique",BRUXELLES,"126,786"
3793,"3793 Teuven, Belgique",BRUXELLES,"126,86"
6980,"6980 LA ROCHE-EN-ARDENNE, Belgique",BRUXELLES,"126,97"
8650,"8650 Klerken, Belgique",BRUXELLES,"127,02"
8620,"8620 Sint-Joris, Belgique",BRUXELLES,"127,098"
4801,"4801 Stembert, Belgique",BRUXELLES,"127,4"
4860,"4860 PEPINSTER, Belgique",BRUXELLES,"127,998"
8956,"8956 Kemmel, Belgique",BRUXELLES,"128,37"
6852,"6852 Maissin, Belgique",BRUXELLES,"128,586"
4170,"4170 COMBLAIN-AU-PONT, Belgique",BRUXELLES,"129,09"
6970,"6970 TENNEVILLE, Belgique",BRUXELLES,"129,15"
4840,"4840 WELKENRAEDT, Belgique",BRUXELLES,"129,22"
4852,"4852 Hombourg, Belgique",BRUXELLES,"129,32"
1733,"1733 HighCo DATA, Belgique",BRUXELLES,"13,16"
1850,"1850 GRIMBERGEN, Belgique",BRUXELLES,"13,24"
1818,"1818 VTM, Belgique",BRUXELLES,"13,25"
1861,"1861 Wolvertem, Belgique",BRUXELLES,"13,3"
1935,"1935 Corporate Village, Belgique",BRUXELLES,"13,4"
1620,"1620 DROGENBOS, Belgique",BRUXELLES,"13,55"
1970,"1970 WEZEMBEEK-OPPEM, Belgique",BRUXELLES,"13,75"
4910,"4910 La Reid, Belgique",BRUXELLES,"130,09"
6972,"6972 Erneuville, Belgique",BRUXELLES,"130,56"
8670,"8670 Oostduinkerke, Belgique",BRUXELLES,"130,62"
4987,"4987 Lorcé, Belgique",BRUXELLES,"130,71"
8630,"8630 Avekapelle, Belgique",BRUXELLES,131
4190,"4190 Xhoris, Belgique",BRUXELLES,"131,02"
4837,"4837 BAELEN, Belgique",BRUXELLES,"131,36"
4710,"4710 LONTZEN, Belgique",BRUXELLES,"131,75"
8647,"8647 Noordschote, Belgique",BRUXELLES,"131,97"
4700,"4700 EUPEN, Belgique",BRUXELLES,"132,25"
4850,"4850 Montzen, Belgique",BRUXELLES,"132,3"
4834,"4834 Goé, Belgique",BRUXELLES,"132,47"
4720,"4720 LA CALAMINE, Belgique",BRUXELLES,"132,48"
4180,"4180 Comblain-La-Tour, Belgique",BRUXELLES,"132,57"
4701,"4701 Kettenis, Belgique",BRUXELLES,"132,84"
4721,"4721 Neu-Moresnet, Belgique",BRUXELLES,"132,97"
4845,"4845 JALHAY, Belgique",BRUXELLES,"133,47"
8951,"8951 Dranouter, Belgique",BRUXELLES,"133,51"
4711,"4711 Walhorn, Belgique",BRUXELLES,"133,57"
4851,"4851 Sippenaeken, Belgique",BRUXELLES,"133,84"
8640,"8640 VLETEREN, Belgique",BRUXELLES,134
4728,"4728 Hergenrath, Belgique",BRUXELLES,"134,189"
6890,"6890 Ochamps, Belgique",BRUXELLES,"134,412"
8954,"8954 Westouter, Belgique",BRUXELLES,"134,64"
6870,"6870 Hatrival, Belgique",BRUXELLES,"134,906"
8958,"8958 Loker, Belgique",BRUXELLES,"135,22"
6853,"6853 Framont, Belgique",BRUXELLES,"135,67"
4181,"4181 Filot, Belgique",BRUXELLES,"135,7"
6984,"6984 Hives, Belgique",BRUXELLES,"136,1"
6983,"6983 Ortho, Belgique",BRUXELLES,"136,17"
6850,"6850 PALISEUL, Belgique",BRUXELLES,"136,56"
6690,"6690 Bihain, Belgique",BRUXELLES,"136,59"
4731,"4731 Eynatten, Belgique",BRUXELLES,"137,44"
